# 2019	Sunrise/Sunset	Daylength	Astronomical Twilight	Nautical Twilight	Civil Twilight	Solar Noon
Dec	Sunrise	Sunset	Length	Difference	Start	End	Start	End	Start	End	Time	Mil. mi
1 	7:06 am ↑ (115°)	5:18 pm ↑ (244°)	10:11:52	−0:55	5:40 am	6:45 pm	6:09 am	6:15 pm	6:40 am	5:45 pm	12:12 pm (36.0°)	91.659
2 	7:07 am ↑ (116°)	5:18 pm ↑ (244°)	10:10:58	−0:53	5:40 am	6:45 pm	6:10 am	6:15 pm	6:40 am	5:45 pm	12:13 pm (35.8°)	91.644
3 	7:08 am ↑ (116°)	5:18 pm ↑ (244°)	10:10:07	−0:51	5:41 am	6:45 pm	6:11 am	6:15 pm	6:41 am	5:45 pm	12:13 pm (35.7°)	91.629
4 	7:09 am ↑ (116°)	5:18 pm ↑ (244°)	10:09:18	−0:48	5:42 am	6:45 pm	6:12 am	6:15 pm	6:42 am	5:45 pm	12:13 pm (35.5°)	91.614
5 	7:09 am ↑ (116°)	5:18 pm ↑ (244°)	10:08:32	−0:46	5:43 am	6:45 pm	6:12 am	6:15 pm	6:43 am	5:45 pm	12:14 pm (35.4°)	91.600
6 	7:10 am ↑ (116°)	5:18 pm ↑ (244°)	10:07:48	−0:43	5:43 am	6:45 pm	6:13 am	6:15 pm	6:43 am	5:45 pm	12:14 pm (35.3°)	91.586
7 	7:11 am ↑ (116°)	5:18 pm ↑ (243°)	10:07:07	−0:41	5:44 am	6:45 pm	6:14 am	6:15 pm	6:44 am	5:45 pm	12:15 pm (35.2°)	91.573
8 	7:12 am ↑ (117°)	5:18 pm ↑ (243°)	10:06:29	−0:38	5:45 am	6:45 pm	6:14 am	6:16 pm	6:45 am	5:45 pm	12:15 pm (35.1°)	91.560
9 	7:13 am ↑ (117°)	5:18 pm ↑ (243°)	10:05:53	−0:35	5:45 am	6:46 pm	6:15 am	6:16 pm	6:46 am	5:45 pm	12:16 pm (35.0°)	91.548
10	7:13 am ↑ (117°)	5:19 pm ↑ (243°)	10:05:20	−0:33	5:46 am	6:46 pm	6:16 am	6:16 pm	6:46 am	5:46 pm	12:16 pm (34.9°)	91.536
11	7:14 am ↑ (117°)	5:19 pm ↑ (243°)	10:04:49	−0:30	5:47 am	6:46 pm	6:16 am	6:16 pm	6:47 am	5:46 pm	12:16 pm (34.8°)	91.525
12	7:15 am ↑ (117°)	5:19 pm ↑ (243°)	10:04:22	−0:27	5:47 am	6:46 pm	6:17 am	6:17 pm	6:48 am	5:46 pm	12:17 pm (34.7°)	91.514
13	7:15 am ↑ (117°)	5:19 pm ↑ (243°)	10:03:56	−0:25	5:48 am	6:47 pm	6:18 am	6:17 pm	6:48 am	5:46 pm	12:17 pm (34.6°)	91.504
14	7:16 am ↑ (117°)	5:20 pm ↑ (243°)	10:03:34	−0:22	5:48 am	6:47 pm	6:18 am	6:17 pm	6:49 am	5:47 pm	12:18 pm (34.6°)	91.495
15	7:17 am ↑ (117°)	5:20 pm ↑ (243°)	10:03:15	−0:19	5:49 am	6:47 pm	6:19 am	6:18 pm	6:50 am	5:47 pm	12:18 pm (34.5°)	91.486
16	7:17 am ↑ (117°)	5:20 pm ↑ (243°)	10:02:58	−0:16	5:50 am	6:48 pm	6:20 am	6:18 pm	6:50 am	5:47 pm	12:19 pm (34.5°)	91.478
17	7:18 am ↑ (117°)	5:21 pm ↑ (243°)	10:02:44	−0:13	5:50 am	6:48 pm	6:20 am	6:18 pm	6:51 am	5:48 pm	12:19 pm (34.4°)	91.470
18	7:18 am ↑ (117°)	5:21 pm ↑ (243°)	10:02:33	−0:11	5:51 am	6:49 pm	6:21 am	6:19 pm	6:51 am	5:48 pm	12:20 pm (34.4°)	91.463
19	7:19 am ↑ (117°)	5:21 pm ↑ (243°)	10:02:25	−0:08	5:51 am	6:49 pm	6:21 am	6:19 pm	6:52 am	5:49 pm	12:20 pm (34.4°)	91.456
20	7:20 am ↑ (117°)	5:22 pm ↑ (243°)	10:02:19	−0:05	5:52 am	6:50 pm	6:22 am	6:20 pm	6:52 am	5:49 pm	12:21 pm (34.4°)	91.449
21	7:20 am ↑ (117°)	5:22 pm ↑ (243°)	10:02:17	−0:02	5:52 am	6:50 pm	6:22 am	6:20 pm	6:53 am	5:50 pm	12:21 pm (34.4°)	91.443
22	7:21 am ↑ (117°)	5:23 pm ↑ (243°)	10:02:17	< 1s 	5:53 am	6:51 pm	6:23 am	6:21 pm	6:54 am	5:50 pm	12:22 pm (34.4°)	91.438
23	7:21 am ↑ (117°)	5:23 pm ↑ (243°)	10:02:20	+0:03	5:53 am	6:51 pm	6:23 am	6:21 pm	6:54 am	5:51 pm	12:22 pm (34.4°)	91.433
24	7:22 am ↑ (117°)	5:24 pm ↑ (243°)	10:02:27	+0:06	5:54 am	6:52 pm	6:24 am	6:22 pm	6:54 am	5:51 pm	12:23 pm (34.4°)	91.428
25	7:22 am ↑ (117°)	5:25 pm ↑ (243°)	10:02:36	+0:08	5:54 am	6:52 pm	6:24 am	6:22 pm	6:55 am	5:52 pm	12:23 pm (34.4°)	91.423
26	7:22 am ↑ (117°)	5:25 pm ↑ (243°)	10:02:47	+0:11	5:55 am	6:53 pm	6:25 am	6:23 pm	6:55 am	5:52 pm	12:24 pm (34.4°)	91.419
27	7:23 am ↑ (117°)	5:26 pm ↑ (243°)	10:03:02	+0:14	5:55 am	6:53 pm	6:25 am	6:23 pm	6:56 am	5:53 pm	12:24 pm (34.5°)	91.415
28	7:23 am ↑ (117°)	5:26 pm ↑ (243°)	10:03:20	+0:17	5:56 am	6:54 pm	6:25 am	6:24 pm	6:56 am	5:54 pm	12:25 pm (34.5°)	91.411
29	7:23 am ↑ (117°)	5:27 pm ↑ (243°)	10:03:40	+0:20	5:56 am	6:55 pm	6:26 am	6:25 pm	6:56 am	5:54 pm	12:25 pm (34.6°)	91.408
30	7:24 am ↑ (117°)	5:28 pm ↑ (243°)	10:04:03	+0:23	5:56 am	6:55 pm	6:26 am	6:25 pm	6:57 am	5:55 pm	12:26 pm (34.7°)	91.406
31	7:24 am ↑ (117°)	5:28 pm ↑ (243°)	10:04:29	+0:25	5:57 am	6:56 pm	6:26 am	6:26 pm	6:57 am	5:56 pm	12:26 pm (34.7°)	91.403
